SKUNumber,SKUDescription,UnitSize,UnitsPerCase,QtySoldInMonth,UnitofMeasureSold,LicNumber,LicName,CasePrice,UnitPrice
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,76201600,SOBEYS SPIRITS * WINE * COLD BEER,71.16,11.86
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,2,CS,76226200,SOBEYS LIQUOR (TUSCANY),71.16,11.86
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,2,CS,76226200,SOBEYS LIQUOR (TUSCANY),75.66,12.61
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,76243000,CO-OP WINE SPIRITS BEER-STRATHMORE,71.16,11.86
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,12,CS,76310500,SOLO LIQUOR STORE #8,71.16,11.86
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,12,CS,76310500,SOLO LIQUOR STORE #8,75.66,12.61
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,76328700,SOBEYS LIQUOR (LLOYDMINSTER),71.16,11.86
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,76328800,SOBEYS LIQUOR (OKOTOKS),71.16,11.86
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,2,CS,76366300,SHERBROOKE LIQUOR STORE,71.16,11.86
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,76412200,CALGARY CO-OP WINES & SPIRITS - ROCKY,71.16,11.86
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,76468500,AVALANCHE SPIRITS,71.16,11.86
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,2,CS,76472700,WINE AND BEYOND,71.16,11.86
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,2,CS,76474100,LIQUOR DEPOT AT BRENTWOOD,71.16,11.86
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,76474100,LIQUOR DEPOT AT BRENTWOOD,75.66,12.61
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,9,CS,76474700,LIQUOR DEPOT AT CASCADE,71.16,11.86
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,4,CS,76474700,LIQUOR DEPOT AT CASCADE,75.66,12.61
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,2,CS,76533900,SOBEYS LIQUOR (MILLRISE),71.16,11.86
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,2,CS,76558100,CALGARY CO-OP WINES & SPIRITS - WEST,71.16,11.86
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,76558100,CALGARY CO-OP WINES & SPIRITS - WEST,75.66,12.61
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,3,CS,76559800,CALGARY CO-OP WINES & SPIRITS - MIDTOWN,71.16,11.86
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,76559800,CALGARY CO-OP WINES & SPIRITS - MIDTOWN,75.66,12.61
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,76577600,SOLO LIQUOR STORE #1A,71.16,11.86
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,3,CS,76601400,SOBEYS LIQUOR (SOUTHBROOK),71.16,11.86
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,76601400,SOBEYS LIQUOR (SOUTHBROOK),75.66,12.61
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,76621100,CALGARY CO-OP WINES & SPIRITS -,71.16,11.86
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,76634500,LIQUOR DEPOT AT CAPILANO,71.16,11.86
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,76645700,B.K. LIQUOR STORE #6 (BRIDGELAND),71.16,11.86
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,76654200,HAPPY'S LIQUOR STORE,71.16,11.86
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,2,CS,76712900,SOBEYS LIQUOR (HERITAGE),71.16,11.86
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,76712900,SOBEYS LIQUOR (HERITAGE),75.66,12.61
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,76738600,SOBEYS LIQUOR (CHESTERMERE),71.16,11.86
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,76762200,SOBEYS SPIRITS * WINE * COLD BEER,71.16,11.86
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,76794500,SOBEYS LIQUOR (ELLERSLIE CROSSING),71.16,11.86
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,76810600,CALGARY CO-OP LIQUOR STORE - KINGSLAND,71.16,11.86
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,76824100,IRON GOAT PUB & GRILL,71.16,11.86
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,76824100,IRON GOAT PUB & GRILL,75.66,12.61
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,76843900,LITTLE GUY LIQUOR CO.,71.16,11.86
792567,TEN PEAKS PALE ALE 473 CAN 4-PK CLS,1892,6,1,CS,76843900,LITTLE GUY LIQUOR CO.,75.66,12.61
