SKUNumber,SKUDescription,UnitSize,UnitsPerCase,QtySoldInMonth,UnitofMeasureSold,LicNumber,LicName,CasePrice,UnitPrice
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,1,CS,78228400,VIVO LIQUOR,75.66,12.61
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,1,CS,78229900,DOORTENDER,75.66,12.61
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,1,CS,78247200,LAKESHORE LIQUOR,75.66,12.61
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,-1,PK,76366300,SHERBROOKE LIQUOR STORE,75.66,12.61
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,-1,PK,77679800,BUFFALO TRAIL LIQUOR,75.66,12.61
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,2,CS,75432900,LAKE LOUISE LIQUOR STORE,75.66,12.61
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,2,CS,76129800,CALGARY CO-OP WINES & SPIRITS -,75.66,12.61
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,2,CS,76366300,SHERBROOKE LIQUOR STORE,75.66,12.61
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,2,CS,76558100,CALGARY CO-OP WINES & SPIRITS - WEST,75.66,12.61
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,2,CS,76559800,CALGARY CO-OP WINES & SPIRITS - MIDTOWN,75.66,12.61
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,2,CS,76628200,WOOD STEAKHOUSE & LOUNGE,75.66,12.61
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,2,CS,76952700,CALGARY CO-OP WINES & SPIRITS-CROWFOOT,75.66,12.61
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,2,CS,76962500,ASPEN WINE & SPIRITS,75.66,12.61
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,2,CS,77004100,CALGARY CO-OP WINES & SPIRITS - NORTH,75.66,12.61
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,2,CS,77293400,SOUTH COUNTRY CO-OP @ CHINOOK LIQUOR,75.66,12.61
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,2,CS,77353400,SAFEWAY LIQUOR (GARRISON WOODS),75.66,12.61
792565,RAILWAY AVENUE RYE IPA 473ML CAN 4-PKCLS,1892,6,2,CS,77672300,A2Z LIQUOR,75.66,12.61
